Place,Code,Country,Admin1,Admin2,Admin3
Chilliwack Central,V2P,Canada,British Columbia,Chilliwack,
Chilliwack West,V2R,Canada,British Columbia,Chilliwack,
Abbotsford Southeast,V2S,Canada,British Columbia,Abbotsford,
Abbotsford Southwest,V2T,Canada,British Columbia,Abbotsford,
Port Coquitlam South,V3C,Canada,British Columbia,Port Coquitlam ,
Port Coquitlam North,V3E,Canada,British Columbia,Port Coquitlam ,
Coquitlam North,V3J,Canada,British Columbia,Coquitlam,
Coquitlam South,V3K,Canada,British Columbia,Coquitlam,
New Westminster Northeast,V3L,Canada,British Columbia,New Westminster ,
New Westminster Southwest (Includes Annacis Island),V3M,Canada,British Columbia,New Westminster ,
Surrey North,V3R,Canada,British Columbia,Surrey,
Surrey East,V3S,Canada,British Columbia,Surrey,
Surrey Inner Northwest,V3T,Canada,British Columbia,Surrey,
Surrey Outer Northwest,V3V,Canada,British Columbia,Surrey,
Surrey Upper West,V3W,Canada,British Columbia,Surrey,
Surrey Lower West,V3X,Canada,British Columbia,Surrey,
Delta Northeast,V4C,Canada,British Columbia,Delta,
Delta East,V4E,Canada,British Columbia,Delta,
Delta East Central,V4G,Canada,British Columbia,Delta,
Delta Central,V4K,Canada,British Columbia,Delta,
Delta Southeast,V4L,Canada,British Columbia,Delta,
Delta Southwest,V4M,Canada,British Columbia,Delta,
Surrey Northeast,V4N,Canada,British Columbia,Surrey,
Surrey South,V4P,Canada,British Columbia,Surrey,
Burnaby (Burnaby Heights / Willingdon Heights / West Central Valley),V5C,Canada,British Columbia,Burnaby,
Burnaby (Lakeview-Mayfield / Richmond Park / Kingsway-Beresford),V5E,Canada,British Columbia,Burnaby,
Burnaby (Cascade-Schou / Douglas-Gilpin),V5G,Canada,British Columbia,Burnaby,
Burnaby (Maywood / Marlborough / Oakalla / Windsor),V5H,Canada,British Columbia,Burnaby,
Burnaby (Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend),V5J,Canada,British Columbia,Burnaby,
Vancouver (North Hastings-Sunrise),V5K,Canada,British Columbia,Vancouver,
Vancouver (North Grandview-Woodlands),V5L,Canada,British Columbia,Vancouver,
Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood),V5M,Canada,British Columbia,Vancouver,
Vancouver (South Grandview-Woodlands / NE Kensington),V5N,Canada,British Columbia,Vancouver,
Vancouver (SE Kensington / Victoria-Fraserview),V5P,Canada,British Columbia,Vancouver,
Vancouver (South Renfrew-Collingwood),V5R,Canada,British Columbia,Vancouver,
Vancouver (Killarney),V5S,Canada,British Columbia,Vancouver,
Vancouver (East Mount Pleasant),V5T,Canada,British Columbia,Vancouver,
Vancouver (West Kensington / NE Riley Park-Little Mountain),V5V,Canada,British Columbia,Vancouver,
Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset),V5W,Canada,British Columbia,Vancouver,
Vancouver (SE Oakridge / East Marpole / South Sunset),V5X,Canada,British Columbia,Vancouver,
Vancouver (West Mount Pleasant / West Riley Park-Little Mountain),V5Y,Canada,British Columbia,Vancouver,
Vancouver (East Fairview / South Cambie),V5Z,Canada,British Columbia,Vancouver,
Vancouver (Waterfront / Coal Harbour / Canada Place),V6C,Canada,British Columbia,Vancouver,
Vancouver (South West End),V6E,Canada,British Columbia,Vancouver,
Vancouver (North West End / Stanley Park),V6G,Canada,British Columbia,Vancouver,
Vancouver (West Fairview / Granville Island / NE Shaughnessy),V6H,Canada,British Columbia,Vancouver,
Vancouver (NW Shaughnessy / East Kitsilano / Quilchena),V6J,Canada,British Columbia,Vancouver,
Vancouver (Central Kitsilano),V6K,Canada,British Columbia,Vancouver,
Vancouver (NW Arbutus Ridge),V6L,Canada,British Columbia,Vancouver,
Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge),V6M,Canada,British Columbia,Vancouver,
Vancouver (Dunbar-Southlands / Musqueam),V6N,Canada,British Columbia,Vancouver,
Vancouver (SE Kerrisdale / SW Oakridge / West Marpole),V6P,Canada,British Columbia,Vancouver,
Vancouver (West Kitsilano / Jericho),V6R,Canada,British Columbia,Vancouver,
Vancouver (Chaldecutt / South University Endowment Lands),V6S,Canada,British Columbia,Vancouver,
Richmond Northeast,V6V,Canada,British Columbia,Richmond,
Richmond Southeast,V6W,Canada,British Columbia,Richmond,
Richmond North,V6X,Canada,British Columbia,Richmond,
Richmond Central,V6Y,Canada,British Columbia,Richmond,
Vancouver (SW Downtown),V6Z,Canada,British Columbia,Vancouver,
Richmond (Sea Island / YVR),V7B,Canada,British Columbia,Richmond,
Richmond West,V7C,Canada,British Columbia,Richmond,
Richmond Southwest,V7E,Canada,British Columbia,Richmond,
North Vancouver Outer East,V7G,Canada,British Columbia,Vancouver,
North Vancouver Inner East,V7H,Canada,British Columbia,Vancouver,
North Vancouver East Central,V7J,Canada,British Columbia,Vancouver,
North Vancouver North Central,V7K,Canada,British Columbia,Vancouver,
North Vancouver South Central,V7L,Canada,British Columbia,Vancouver,
North Vancouver Southwest Central,V7M,Canada,British Columbia,Vancouver,
North Vancouver Northwest Central,V7N,Canada,British Columbia,Vancouver,
North Vancouver Southwest,V7P,Canada,British Columbia,Vancouver,
North Vancouver Northwest,V7R,Canada,British Columbia,Vancouver,
West Vancouver North,V7S,Canada,British Columbia,Vancouver,
West Vancouver Southeast,V7T,Canada,British Columbia,Vancouver,
West Vancouver South,V7V,Canada,British Columbia,Vancouver,
West Vancouver West,V7W,Canada,British Columbia,Vancouver,
Vancouver (Bentall Centre),V7X,Canada,British Columbia,Vancouver,
Vancouver (Pacific Centre),V7Y,Canada,British Columbia,Vancouver,
Surrey Southwest,V4A,Canada,British Columbia,Surrey,
Vancouver (UBC),V6T,Canada,British Columbia,Vancouver,
Port Coquitlam Central,V3B,Canada,British Columbia,Port Coquitlam ,
Burnaby (Government Road / Lake City / SFU / Burnaby Mountain),V5A,Canada,British Columbia,Burnaby,
Burnaby (Parkcrest-Aubrey / Ardingley-Sprott),V5B,Canada,British Columbia,Burnaby,
Vancouver (Strathcona / Chinatown / Downtown Eastside),V6A,Canada,British Columbia,Vancouver,
Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),V6B,Canada,British Columbia,Vancouver,
Richmond South,V7A,Canada,British Columbia,Richmond,
